developer,project,lender,date,status,account
6600,912,6605,1/28/2020,delivered,PI9237575-L3O5
6600,200,6605,4/4/2020,delivered,TS9645463-R2I5
6600,912,6605,1/28/2020,delivered,PP6244005-P7M4
6600,310,6605,3/30/2020,failed,LN1898124-L1R0
6600,912,6605,2/18/2020,delivered,DG3132389-Q1Q6
6600,912,6605,4/1/2020,delivered,MZ2526970-S8T2
6600,200,6605,1/23/2020,delivered,BU6524587-U4I6
6600,912,6605,3/13/2020,delivered,GD4769442-C9Y4
6600,200,6605,2/8/2020,delivered,PG9118639-E1I0
6600,912,6605,1/1/2020,delivered,YR2298405-K8U9
6600,310,6605,3/5/2020,delivered,ML8223446-L3B4
6600,310,6605,3/11/2020,delivered,RS1885451-F0I1
6600,912,6605,3/21/2020,delivered,BB8912905-G0W0
6600,200,6605,3/11/2020,delivered,FW3008278-P4V4
6600,912,6605,2/8/2020,delivered,LU9751656-E9D0
6600,912,6605,3/8/2020,delivered,VU3687643-J1X6
6600,200,6605,1/9/2020,delivered,KF2526016-Y7B0
6600,200,6605,2/11/2020,delivered,LZ7084630-Z8C1
6600,200,6605,4/18/2020,delivered,YS0619363-J3Z2
6600,912,6605,4/16/2020,delivered,SW6891779-Y1L2
6600,310,6605,3/19/2020,delivered,KM8423280-K9J2
6600,200,6605,4/3/2020,delivered,SK0815539-F3G8
6600,310,6605,3/30/2020,delivered,BH4994973-U4L8
6600,912,6605,2/6/2020,delivered,RE8087417-E4Q6
6600,310,6605,4/11/2020,delivered,OQ1460413-F8A8
6600,912,6605,2/29/2020,delivered,VI2120031-I6V7
6600,912,6605,2/4/2020,delivered,JN5959920-M1K5
6600,912,6605,3/8/2020,delivered,TZ9439124-Q4Q6
6600,310,6605,4/11/2020,delivered,JD3517324-W2S4
6600,200,6605,1/8/2020,delivered,YE4388273-O3U7
6600,200,6605,2/20/2020,delivered,OK5477577-G7S6
6600,310,6605,1/5/2020,delivered,IN2094903-G1Y3
6600,310,6605,1/8/2020,delivered,NQ8035854-Y6F1
6600,200,6605,3/25/2020,delivered,TO1029343-H5U7
6600,310,6605,1/20/2020,delivered,AS1766873-K3T7
6600,200,6605,1/13/2020,delivered,PF9852054-Q4Q2
6600,912,6605,3/12/2020,delivered,VE0223092-B3U2
